lon,lat,vv,vh,cell_id
104.85,8.649999999999975,-9.19638091627715,-15.59568117159194,104.8_8.6
104.85,8.749999999999975,-12.607164355313987,-19.763710045765244,104.8_8.7
104.85,8.849999999999975,-10.128556053377338,-16.95059930393703,104.8_8.8
104.85,8.949999999999974,-10.769244649723841,-17.934114551930552,104.8_8.9
104.85,9.049999999999974,-10.282165837626648,-17.728427482450435,104.8_9.0
104.85,9.149999999999974,-8.972713975170583,-16.847741979822388,104.8_9.1
104.85,9.249999999999973,-10.659562482292277,-18.25949715122668,104.8_9.2
104.85,9.349999999999973,-12.001468155077784,-20.78453292140766,104.8_9.3
104.85,9.449999999999973,-13.34377970474304,-22.367130441662248,104.8_9.4
104.85,9.549999999999972,-13.555284541659606,-22.918680878627914,104.8_9.5
104.85,9.649999999999972,-14.402050484660986,-25.30947968133828,104.8_9.6
104.85,9.749999999999972,-16.02482592072716,-28.162887197648796,104.8_9.7
104.85,9.849999999999971,-18.69039948512559,-32.662086336082645,104.8_9.8
104.85,9.94999999999997,-18.46348525211294,-32.728388801107826,104.8_9.9
104.85,10.04999999999997,-18.54326643289472,-32.79532773766487,104.8_10.0
104.85,10.14999999999997,-12.810283996711842,-21.313056082102225,104.8_10.1
104.85,10.24999999999997,-8.798941360528246,-14.61182711944382,104.8_10.2
104.85,10.34999999999997,-8.970859213230087,-15.266449065770294,104.8_10.3
104.85,10.449999999999969,-8.968846175566261,-15.593295005574173,104.8_10.4
104.85,10.549999999999969,-8.116190882015667,-15.238245377097188,104.8_10.5
104.85,10.649999999999968,-8.306701549519314,-15.20293318718018,104.8_10.6
104.85,10.749999999999968,-8.469862160148457,-16.477280373440934,104.8_10.7
104.85,10.849999999999968,-8.729557512320307,-16.61166858868068,104.8_10.8
104.85,10.949999999999967,-10.450319625337764,-18.888432377933803,104.8_10.9
104.85,11.049999999999967,-11.407491037843696,-20.057715166158584,104.8_11.0
104.94999999999999,8.549999999999976,-18.784921516052787,-30.03865233444695,104.9_8.5
104.94999999999999,8.649999999999975,-9.342570326753373,-15.679601693062677,104.9_8.6
104.94999999999999,8.749999999999975,-9.689424294028468,-16.28909015874614,104.9_8.7
104.94999999999999,8.849999999999975,-10.621345198958284,-17.272344822819484,104.9_8.8
104.94999999999999,8.949999999999974,-10.130676729903042,-17.30914546816618,104.9_8.9
104.94999999999999,9.049999999999974,-9.649915272469165,-17.17240209285635,104.9_9.0
104.94999999999999,9.149999999999974,-8.023727598719114,-15.384314805877546,104.9_9.1
104.94999999999999,9.249999999999973,-7.277857029060906,-12.816281605859894,104.9_9.2
104.94999999999999,9.349999999999973,-8.30348549069648,-14.224478625415536,104.9_9.3
104.94999999999999,9.449999999999973,-8.97969387446237,-15.109023531981826,104.9_9.4
104.94999999999999,9.549999999999972,-10.54131475334218,-17.01692712378072,104.9_9.5
104.94999999999999,9.649999999999972,-12.08426105293341,-19.473079193037645,104.9_9.6
104.94999999999999,9.749999999999972,-12.041285705951081,-19.14696187148939,104.9_9.7
104.94999999999999,9.849999999999971,-14.557998543226196,-23.451661603948242,104.9_9.8
104.94999999999999,9.94999999999997,-20.724664329834287,-35.199343154507744,104.9_9.9
104.94999999999999,10.04999999999997,-19.150203010867017,-32.568378489344965,104.9_10.0
104.94999999999999,10.14999999999997,-8.653411284155226,-15.516281173511455,104.9_10.1
104.94999999999999,10.24999999999997,-8.72494083365477,-14.895159227386968,104.9_10.2
104.94999999999999,10.34999999999997,-8.539840535974665,-15.550122178419377,104.9_10.3
104.94999999999999,10.449999999999969,-7.925339308727833,-15.349673590711063,104.9_10.4
